                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.57564,                0.43362,                 1.0208,                0.95967,                0.91667,                 0.9185,                0.78698,                0.56095,                0.36882,                 1.0354,              0.0011376,              0.0011376,              0.0011376
                    106,                0.54609,                0.39151,                0.98824,                0.95881,                0.91667,                0.92294,                0.80447,                0.54702,                 0.3683,                 1.0089,              0.0011347,              0.0011347,              0.0011347
                    107,                0.56581,                 0.4011,                 1.0224,                 0.9432,                0.90199,                0.90904,                0.79696,                0.51858,                0.41651,                0.99659,              0.0011319,              0.0011319,              0.0011319
                    108,                0.55801,                0.39812,                 1.0209,                0.61827,                0.65454,                0.56752,                0.40329,                0.95915,                 2.4321,                 1.2797,              0.0011291,              0.0011291,              0.0011291
                    109,                0.55994,                0.42247,                 1.0071,                0.78882,                0.74219,                0.74011,                0.57646,                0.67414,                 1.2949,                 1.0929,              0.0011263,              0.0011263,              0.0011263
                    110,                0.54215,                0.42145,                 1.0117,                 0.6932,                0.74849,                0.70483,                  0.531,                 0.7323,                 1.2445,                  1.163,              0.0011234,              0.0011234,              0.0011234
                    111,                0.55928,                0.40754,                0.99977,                0.58039,                0.24972,                0.42932,                0.30803,                 1.1464,                 3.3581,                 1.5237,              0.0011206,              0.0011206,              0.0011206
                    112,                0.55312,                0.42879,                0.99754,                0.64744,                0.76458,                0.69107,                0.52153,                0.74634,                 1.4298,                 1.1869,              0.0011178,              0.0011178,              0.0011178
                    113,                0.50829,                0.40427,                 1.0006,                0.94999,                0.84792,                0.91481,                0.78424,                0.53973,                0.48038,                 1.0242,              0.0011149,              0.0011149,              0.0011149
                    114,                0.54581,                0.43351,                0.99924,                0.93906,                0.89803,                0.91428,                0.78198,                0.53722,                0.49975,                 1.0214,              0.0011121,              0.0011121,              0.0011121
                    115,                0.51838,                0.38482,                0.97815,                0.93606,                  0.825,                 0.8866,                0.76059,                0.60511,                0.65543,                 1.0502,              0.0011093,              0.0011093,              0.0011093
                    116,                0.54834,                0.41197,                 1.0032,                0.81267,                0.81754,                0.83331,                0.73792,                0.55331,                0.68611,                 1.0442,              0.0011064,              0.0011064,              0.0011064
                    117,                0.53848,                0.42789,                 1.0147,                0.73824,                0.77298,                0.79189,                0.69324,                 0.5914,                0.87929,                  1.064,              0.0011036,              0.0011036,              0.0011036
                    118,                0.52587,                0.40107,                0.98265,                0.61718,                 0.5904,                0.52263,                0.45076,                0.70599,                 1.6152,                 1.1375,              0.0011008,              0.0011008,              0.0011008
                    119,                0.56144,                0.43706,                 1.0199,                0.95043,                0.89058,                0.93374,                0.81571,                0.50357,                0.46746,                 1.0022,               0.001098,               0.001098,               0.001098
                    120,                0.55809,                0.43676,                 1.0381,                 0.9528,                0.87139,                0.90163,                 0.7684,                0.59208,                0.39114,                 1.0761,              0.0010951,              0.0010951,              0.0010951
                    121,                0.57015,                0.42475,                  1.004,                 0.9572,                0.83333,                 0.9058,                0.79337,                0.50586,                0.37035,                0.99617,              0.0010923,              0.0010923,              0.0010923
                    122,                 0.5307,                0.40501,                0.97844,                0.88919,                0.90802,                0.93598,                0.81919,                0.50243,                0.35513,                0.99605,              0.0010895,              0.0010895,              0.0010895
                    123,                 0.5128,                0.39004,                0.99118,                0.96226,                0.87459,                0.93317,                0.80253,                0.53599,                0.35468,                 1.0287,              0.0010866,              0.0010866,              0.0010866
                    124,                0.54538,                0.43211,                 1.0077,                0.84813,                0.95641,                0.92378,                0.80784,                0.49925,                 0.4308,                0.98603,              0.0010838,              0.0010838,              0.0010838
                    125,                0.53251,                0.39255,                0.99472,                0.88331,                0.93306,                0.95164,                0.82128,                0.50408,                0.42446,                0.98897,               0.001081,               0.001081,               0.001081
                    126,                   0.53,                0.40929,                0.99029,                0.91153,                0.89006,                0.96152,                0.83421,                 0.5363,                0.39441,                 1.0198,              0.0010782,              0.0010782,              0.0010782
                    127,                0.52371,                0.37406,                 1.0002,                 0.8814,                0.83923,                0.90849,                0.78408,                0.54091,                0.44018,                 1.0219,              0.0010753,              0.0010753,              0.0010753
                    128,                 0.5451,                0.38829,                0.98978,                 0.8334,                0.60153,                0.80243,                0.63922,                0.66269,                0.98743,                  1.093,              0.0010725,              0.0010725,              0.0010725
                    129,                0.53884,                0.40413,                0.99804,                0.77688,                  0.718,                 0.8091,                0.65687,                0.65701,                0.91266,                  1.119,              0.0010697,              0.0010697,              0.0010697
                    130,                0.51854,                0.40139,                0.96776,                0.96082,                0.97127,                0.99265,                0.87291,                0.46432,                0.32846,                0.98244,              0.0010668,              0.0010668,              0.0010668
                    131,                0.54269,                0.38588,                0.98852,                0.96443,                0.98305,                0.99222,                0.87804,                0.49409,                0.29198,                0.99446,               0.001064,               0.001064,               0.001064
                    132,                0.53069,                0.38333,                0.99087,                0.96027,                0.97709,                0.98742,                0.86961,                0.50355,                0.30636,                  1.011,              0.0010612,              0.0010612,              0.0010612
                    133,                0.53423,                0.38826,                0.99534,                0.95858,                0.95833,                0.98177,                0.85113,                0.55694,                 0.3497,                 1.0452,              0.0010583,              0.0010583,              0.0010583
                    134,                0.55341,                0.39104,                 1.0032,                0.92998,                0.95833,                 0.9384,                0.82695,                 0.5496,                0.34226,                 1.0444,              0.0010555,              0.0010555,              0.0010555
                    135,                0.52829,                0.38318,                0.97522,                0.84672,                0.95833,                0.90668,                0.80067,                0.53205,                0.35689,                 1.0377,              0.0010527,              0.0010527,              0.0010527
                    136,                0.54874,                0.41882,                  1.021,                0.73298,                0.92134,                0.78351,                 0.6971,                0.56868,                0.60712,                 1.0516,              0.0010499,              0.0010499,              0.0010499
                    137,                0.55346,                0.41389,                0.99154,                0.71279,                0.83938,                0.72545,                0.65712,                0.54197,                0.87134,                 1.0178,               0.001047,               0.001047,               0.001047
                    138,                 0.5607,                0.45667,                 1.0448,                0.73366,                0.84238,                0.76228,                0.68001,                 0.5438,                0.69892,                 1.0208,              0.0010442,              0.0010442,              0.0010442
                    139,                0.53934,                0.40674,                 0.9848,                0.78836,                0.89311,                0.87269,                0.77071,                0.49476,                0.49878,                0.99428,              0.0010414,              0.0010414,              0.0010414
                    140,                0.53555,                0.39652,                0.98988,                0.68129,                0.71357,                   0.75,                0.65891,                0.58355,                 1.0884,                 1.0973,              0.0010385,              0.0010385,              0.0010385
                    141,                0.53064,                0.39265,                0.97888,                 0.6648,                0.75463,                0.69235,                0.60814,                0.58751,                   1.15,                 1.0874,              0.0010357,              0.0010357,              0.0010357
                    142,                0.52597,                0.40588,                0.98594,                0.90494,                 0.7651,                 0.8907,                0.79405,                0.50141,                 0.6113,                 1.0001,              0.0010329,              0.0010329,              0.0010329
                    143,                 0.5639,                0.41873,                0.99512,                0.95735,                0.91472,                 0.9755,                0.86316,                 0.4766,                0.34369,                0.97054,              0.0010301,              0.0010301,              0.0010301
                    144,                0.53065,                0.39134,                0.97128,                0.96953,                0.93697,                 0.9777,                0.86917,                0.49907,                 0.3296,                0.98996,              0.0010272,              0.0010272,              0.0010272
                    145,                 0.5288,                0.39926,                0.99056,                0.98755,                0.93353,                  0.987,                0.88285,                0.49298,                0.30548,                0.99353,              0.0010244,              0.0010244,              0.0010244
